Steps    Q        Qc       Rg       Backbone Rama     Contact  Fragment Membrane ER       TBM_Q    Beta     Pap      Helical  Debye_huckel Total   
40       0.95     0.99     10.17    122.36   -399.21  -84.85   -276.12  0.00     0.00     0.00     -20.10   0.00     0.00     1.02     -656.90 
41       0.94     0.98     10.17    112.51   -403.28  -84.92   -276.12  0.00     0.00     0.00     -20.17   0.00     0.00     1.02     -670.96 
42       0.94     0.98     10.18    110.35   -407.25  -84.90   -276.26  0.00     0.00     0.00     -20.28   0.00     0.00     1.01     -677.33 
43       0.94     0.98     10.18    113.43   -409.17  -84.59   -276.50  0.00     0.00     0.00     -20.39   0.00     0.00     1.00     -676.21 
44       0.94     0.98     10.18    112.83   -409.42  -83.71   -276.78  0.00     0.00     0.00     -20.41   0.00     0.00     0.99     -676.50 
45       0.94     0.98     10.18    108.38   -409.43  -83.05   -277.07  0.00     0.00     0.00     -20.36   0.00     0.00     0.98     -680.55 
46       0.94     0.98     10.18    105.51   -410.27  -82.61   -277.33  0.00     0.00     0.00     -20.25   0.00     0.00     0.97     -684.00 
47       0.94     0.98     10.19    106.75   -410.81  -82.45   -277.57  0.00     0.00     0.00     -20.18   0.00     0.00     0.96     -683.29 
48       0.94     0.98     10.19    107.76   -410.33  -82.26   -277.74  0.00     0.00     0.00     -20.18   0.00     0.00     0.96     -681.79 
49       0.94     0.98     10.19    110.12   -409.95  -82.21   -277.92  0.00     0.00     0.00     -20.32   0.00     0.00     0.96     -679.33 
50       0.94     0.98     10.18    116.99   -410.07  -82.51   -278.08  0.00     0.00     0.00     -20.56   0.00     0.00     0.96     -673.29 
51       0.94     0.98     10.18    125.20   -409.92  -82.71   -278.23  0.00     0.00     0.00     -20.78   0.00     0.00     0.96     -665.48 
52       0.94     0.98     10.17    122.84   -409.20  -82.56   -278.36  0.00     0.00     0.00     -20.86   0.00     0.00     0.96     -667.18 
53       0.94     0.98     10.17    113.44   -408.30  -82.47   -278.50  0.00     0.00     0.00     -20.86   0.00     0.00     0.95     -675.73 
