#"Step","Potential Energy (kJ/mole)","Temperature (K)"
531,-2661.19136428833,344.88983566010296
534,-2709.2819442749023,369.7780430612433
537,-2707.9712829589844,365.8550634036163
540,-2669.8016815185547,349.86700182271915
543,-2658.451259613037,346.0778044435483
546,-2679.3579864501953,355.4538374110179
549,-2699.504665374756,363.4184499682911
552,-2695.709056854248,358.0578108245188
555,-2671.85587310791,349.0956596009591
558,-2647.9736366271973,343.36459663923097
561,-2637.8019323349,335.0049120981646
564,-2669.1417293548584,350.1303340279303
567,-2727.9262676239014,374.77291594502185
570,-2745.1318130493164,383.7795125677476
573,-2707.763235092163,368.4820023181941
576,-2670.93145942688,354.4584825703341
579,-2667.4789905548096,355.2794883594513
582,-2674.5424041748047,360.30552265722
585,-2671.21524810791,351.927474410879
588,-2679.2735710144043,354.6830465055214
591,-2686.887519836426,358.09483995841475
594,-2665.377784729004,358.8030645279987
597,-2636.6724243164062,345.0069354127079
600,-2644.1351470947266,348.98056958593946
603,-2678.792854309082,364.14146471101304
606,-2702.091407775879,374.7878807831736
609,-2708.8682022094727,375.22626697596303
612,-2700.02689743042,369.51771083184116
615,-2682.2884063720703,363.33673351220034
618,-2674.7204055786133,364.2774477495451
621,-2674.6441078186035,362.79341753622447
624,-2665.089900970459,358.1280617738536
627,-2652.062370300293,350.9463185000704
630,-2626.944347381592,339.8068756954388
633,-2593.713333129883,329.4079095124045
636,-2604.3542861938477,338.5792985582517
639,-2683.7095108032227,370.5034316563933
642,-2741.982208251953,399.543437283735
645,-2731.906162261963,397.8597582373302
648,-2670.868881225586,372.0431142992616
651,-2610.9719314575195,344.8745100646228
654,-2618.3960876464844,350.3364534408236
657,-2687.9986114501953,385.6250985238139
660,-2700.6529388427734,391.02008824687243
663,-2651.4859504699707,368.9722223939062
666,-2646.658592224121,369.2791882290049
669,-2672.006603240967,377.1589840663873
672,-2652.640537261963,368.88428706548797
675,-2601.4154415130615,351.75797125962987
678,-2600.6673336029053,352.6170831816821
681,-2623.205406188965,362.56974117146643
684,-2628.659397125244,366.3222523720618
687,-2634.769260406494,371.4909883476009
690,-2636.5060958862305,371.3890996824243
693,-2613.2819213867188,362.31255297107236
696,-2604.2442932128906,354.70716870049284
699,-2636.746940612793,368.4959122700561
702,-2662.4449768066406,377.2466731536901
705,-2654.9063568115234,372.0561806940026
708,-2659.8330154418945,379.33214113212716
711,-2669.2106170654297,384.834077260739
714,-2654.693962097168,385.08946468923523
717,-2646.368221282959,386.69579889219716
720,-2667.5290660858154,394.36185465191573
723,-2675.0126247406006,399.47210958264515
726,-2639.4779472351074,378.1819157525446
729,-2614.817050933838,366.23672676777477
732,-2636.431219100952,378.3784310062108
735,-2642.629056930542,387.35599276203965
738,-2644.9808349609375,390.6818835513365
741,-2681.6653900146484,402.8207823735149
744,-2706.175079345703,408.240297196533
747,-2703.138717651367,402.99027376775086
750,-2713.7657432556152,399.9099410934955
753,-2701.5464630126953,391.8713681325474
756,-2635.4425888061523,363.10915848729286
759,-2584.501552581787,342.16400177693663
762,-2595.6927909851074,349.38982454610976
765,-2611.3666038513184,355.18447283466963
768,-2624.941436767578,357.8041559403559
771,-2669.7592582702637,380.6069618131161
774,-2689.941005706787,387.57718262870173
777,-2648.2540588378906,360.87657566899315
780,-2604.7995166778564,339.84256684680304
783,-2605.263774871826,340.4739332974541
786,-2633.4347076416016,353.23028652752413
789,-2658.5056796073914,365.04518128483414
792,-2670.509615421295,359.9851801078503
795,-2660.5993032455444,356.9018047616941
798,-2645.2777791023254,347.1283775473459
801,-2651.7467832565308,348.6353662227154
804,-2674.056032180786,365.7285635656533
807,-2688.563901901245,372.4484669985645
810,-2702.707715988159,373.787399717267
813,-2726.946973800659,387.243409047432
816,-2735.450542449951,399.52136309744225
819,-2689.2381343841553,379.2653994626811
822,-2627.91597366333,356.871178351377
825,-2611.359468460083,355.97143680442673
828,-2619.4104957580566,357.7489975306076
831,-2609.9729537963867,353.88250762449877
834,-2611.452739715576,350.7341006201788
837,-2660.6237983703613,371.88198255919724
840,-2692.297148704529,380.980916056609
843,-2645.542094707489,361.56449340410137
846,-2598.688910961151,340.8624493990277
849,-2631.4336471557617,355.692187065139
852,-2683.912685394287,378.6984854540794
855,-2671.878011703491,371.8066801193266
858,-2632.117874145508,355.82857070883534
861,-2617.0024585723877,350.36324950669666
864,-2625.293613433838,352.6746465641666
867,-2635.731559753418,356.42187411111576
870,-2632.7872276306152,353.38367851307294
873,-2630.821220397949,353.4663261138289
876,-2628.72762298584,352.84509906275247
879,-2660.129871368408,364.7921429966768
882,-2703.094470977783,380.16524631593927
885,-2672.125198364258,362.53987126610053
888,-2606.304130554199,332.23982074027816
891,-2628.7807579040527,346.5314571660073
894,-2678.7162742614746,369.78642695905165
897,-2630.770071029663,354.347647929738
900,-2572.1061611175537,330.88517303175666
903,-2618.0089073181152,351.06829919715096
906,-2666.7541465759277,368.3878237203813
909,-2628.140422821045,348.7279595514324
912,-2588.801977157593,337.88362654741917
915,-2631.332845687866,362.48972052455184
918,-2668.1467514038086,378.43213140432925
921,-2657.2699394226074,365.16326768147394
924,-2657.0523948669434,366.62444287177306
927,-2646.399829864502,362.4587243045122
930,-2598.5709075927734,337.44977792021905
933,-2574.5991649627686,321.466956609653
936,-2605.0599269866943,335.3887693310885
939,-2617.6519947052,344.8165462173977
942,-2606.2514305114746,338.24913079071337
945,-2634.360195159912,353.21022298797345
948,-2691.53009223938,381.5365844552425
951,-2720.8887367248535,390.9386222120596
954,-2721.7742490768433,389.9837442913954
957,-2700.647512435913,376.2594784994858
960,-2669.981559753418,358.7541552294262
963,-2633.246223449707,344.50285090540586
966,-2622.645263671875,337.71506310845456
969,-2659.0173416137695,358.50691560198453
972,-2672.4538192749023,364.87651213231817
975,-2645.021625518799,362.1298392853747
978,-2636.401828765869,358.29034165651564
981,-2670.249198913574,378.8474439537197
984,-2696.385139465332,392.8165874882147
987,-2686.206518173218,387.09655571745884
990,-2672.254894256592,383.41313508670936
993,-2653.962854385376,373.0074978539794
996,-2623.779754638672,363.74883073967453
999,-2593.0506563186646,348.9425651545138
1002,-2589.33069896698,352.30820767990144
1005,-2627.533534049988,367.6405327907894
1008,-2648.4262714385986,381.69137777947213
1011,-2612.211717605591,368.96510400867334
1014,-2576.8000297546387,352.584391020255
1017,-2568.050640106201,348.2472466310199
1020,-2561.5624194145203,344.4084479837667
1023,-2568.469254016876,353.6702706408891
1026,-2580.3582429885864,357.10585767917667
1029,-2567.850164413452,351.60198942101823
1032,-2586.9770317077637,357.84550326536964
1035,-2625.8805632591248,373.78068668089116
1038,-2613.606155395508,369.55127596332517
1041,-2589.124813079834,357.60115442433397
1044,-2619.610887527466,371.65208297056427
1047,-2638.1570892333984,377.2473684872432
1050,-2623.2243700027466,367.780820405939
1053,-2615.5610275268555,364.3953498534131
1056,-2630.056655883789,370.7437961586381
1059,-2636.670783996582,373.16769155317127
1062,-2641.122329711914,381.68481035406273
1065,-2629.3371200561523,375.6204512163096
1068,-2612.052803039551,367.53406279522363
1071,-2617.7641525268555,370.31708555311076
1074,-2646.843780517578,386.5352433779863
1077,-2647.9311294555664,388.8647898016639
1080,-2614.457492828369,375.49024127519175
1083,-2611.4356231689453,369.9374378678853
1086,-2641.2071838378906,390.8002857714142
1089,-2647.5523138046265,387.202586234879
1092,-2633.7297077178955,377.5584943609857
1095,-2634.495238304138,375.8533563621909
1098,-2642.3548889160156,382.65417147360745
1101,-2623.0675916671753,372.5582646275136
1104,-2588.4796590805054,365.3524631637229
1107,-2592.1844272613525,369.69867917482424
1110,-2638.2108974456787,387.7670131904237
1113,-2676.0467643737793,404.15989392780415
1116,-2670.291404724121,403.9007707316528
1119,-2626.9129943847656,381.93658084675513
1122,-2596.935905456543,363.2115713197118
1125,-2615.142663002014,371.5482252023771
1128,-2630.086437225342,378.5081091795683
1131,-2617.612512588501,375.7747587211056
1134,-2612.8189373016357,369.2657548776941
1137,-2638.3274126052856,384.77962110033786
1140,-2625.71373796463,380.92828471587393
1143,-2586.9927835464478,366.7169748266944
1146,-2591.5806589126587,372.26423282404824
1149,-2635.2556352615356,391.10790063019857
1152,-2623.489700317383,387.42795780325275
1155,-2556.2044563293457,359.0035584541402
1158,-2541.9441833496094,357.0522640653581
1161,-2576.041965484619,370.3365127433069
1164,-2590.0937843322754,377.67427275948745
1167,-2586.126350402832,383.5050093311724
1170,-2571.620615005493,380.85106704420457
1173,-2560.3409843444824,382.93482909766806
1176,-2587.3119049072266,394.1016779421872
1179,-2631.0475120544434,412.63732224847126
1182,-2647.7062797546387,419.1698557488183
1185,-2651.5906524658203,420.5959715668402
1188,-2634.7177543640137,405.15576353566945
1191,-2601.1716289520264,393.57369617827794
1194,-2576.4474773406982,378.86959629811537
1197,-2543.367667198181,369.1629105630574
1200,-2496.1895275115967,349.63884108375635
