(0, 18)
(0, 21)
(0, 24)
(0, 27)
(0, 30)
(0, 33)
(0, 36)
(0, 39)
(0, 42)
(0, 45)
(0, 48)
(0, 51)
(0, 54)
(0, 57)
(3, 18)
(3, 21)
(3, 24)
(3, 27)
(3, 30)
(3, 33)
(3, 36)
(3, 39)
(3, 42)
(3, 45)
(3, 48)
(3, 51)
(3, 54)
(3, 57)
(6, 24)
(6, 27)
(6, 30)
(6, 33)
(6, 36)
(6, 39)
(6, 42)
(6, 45)
(6, 48)
(6, 51)
(6, 54)
(6, 57)
(6, 60)
(6, 63)
(9, 24)
(9, 27)
(9, 30)
(9, 33)
(9, 36)
(9, 39)
(9, 42)
(9, 45)
(9, 48)
(9, 51)
(9, 54)
(9, 57)
(9, 60)
(9, 63)
(12, 30)
(12, 33)
(12, 36)
(12, 39)
(12, 42)
(12, 45)
(12, 48)
(12, 51)
(12, 54)
(12, 57)
(12, 60)
(12, 63)
(12, 66)
(12, 69)
(15, 30)
(15, 33)
(15, 36)
(15, 39)
(15, 42)
(15, 45)
(15, 48)
(15, 51)
(15, 54)
(15, 57)
(15, 60)
(15, 63)
(15, 66)
(15, 69)
(18, 36)
(18, 39)
(18, 42)
(18, 45)
(18, 48)
(18, 51)
(18, 54)
(18, 57)
(18, 60)
(18, 63)
(18, 66)
(18, 69)
(18, 72)
(18, 75)
(21, 36)
(21, 39)
(21, 42)
(21, 45)
(21, 48)
(21, 51)
(21, 54)
(21, 57)
(21, 60)
(21, 63)
(21, 66)
(21, 69)
(21, 72)
(21, 75)
(24, 42)
(24, 45)
(24, 48)
(24, 51)
(24, 54)
(24, 57)
(24, 60)
(24, 63)
(24, 66)
(24, 69)
(24, 72)
(24, 75)
(24, 78)
(27, 42)
(27, 45)
(27, 48)
(27, 51)
(27, 54)
(27, 57)
(27, 60)
(27, 63)
(27, 66)
(27, 69)
(27, 72)
(27, 75)
(27, 78)
(30, 48)
(30, 51)
(30, 54)
(30, 57)
(30, 60)
(30, 63)
(30, 66)
(30, 69)
(30, 72)
(30, 75)
(30, 78)
(30, 83)
(30, 86)
(33, 48)
(33, 51)
(33, 54)
(33, 57)
(33, 60)
(33, 63)
(33, 66)
(33, 69)
(33, 72)
(33, 75)
(33, 78)
(33, 83)
(33, 86)
(36, 54)
(36, 57)
(36, 60)
(36, 63)
(36, 66)
(36, 69)
(36, 72)
(36, 75)
(36, 78)
(36, 83)
(36, 86)
(36, 89)
(36, 92)
(39, 54)
(39, 57)
(39, 60)
(39, 63)
(39, 66)
(39, 69)
(39, 72)
(39, 75)
(39, 78)
(39, 83)
(39, 86)
(39, 89)
(39, 92)
(42, 60)
(42, 63)
(42, 66)
(42, 69)
(42, 72)
(42, 75)
(42, 78)
(42, 83)
(42, 86)
(42, 89)
(42, 92)
(42, 95)
(42, 98)
(45, 60)
(45, 63)
(45, 66)
(45, 69)
(45, 72)
(45, 75)
(45, 78)
(45, 83)
(45, 86)
(45, 89)
(45, 92)
(45, 95)
(45, 98)
(48, 66)
(48, 69)
(48, 72)
(48, 75)
(48, 78)
(48, 83)
(48, 86)
(48, 89)
(48, 92)
(48, 95)
(48, 98)
(48, 101)
(48, 104)
(51, 66)
(51, 69)
(51, 72)
(51, 75)
(51, 78)
(51, 83)
(51, 86)
(51, 89)
(51, 92)
(51, 95)
(51, 98)
(51, 101)
(51, 104)
(54, 72)
(54, 75)
(54, 78)
(54, 83)
(54, 86)
(54, 89)
(54, 92)
(54, 95)
(54, 98)
(54, 101)
(54, 104)
(54, 107)
(54, 110)
(57, 72)
(57, 75)
(57, 78)
(57, 83)
(57, 86)
(57, 89)
(57, 92)
(57, 95)
(57, 98)
(57, 101)
(57, 104)
(57, 107)
(57, 110)
(60, 78)
(60, 83)
(60, 86)
(60, 89)
(60, 92)
(60, 95)
(60, 98)
(60, 101)
(60, 104)
(60, 107)
(60, 110)
(60, 113)
(60, 116)
(63, 78)
(63, 83)
(63, 86)
(63, 89)
(63, 92)
(63, 95)
(63, 98)
(63, 101)
(63, 104)
(63, 107)
(63, 110)
(63, 113)
(63, 116)
(66, 83)
(66, 86)
(66, 89)
(66, 92)
(66, 95)
(66, 98)
(66, 101)
(66, 104)
(66, 107)
(66, 110)
(66, 113)
(66, 116)
(66, 119)
(66, 122)
(69, 83)
(69, 86)
(69, 89)
(69, 92)
(69, 95)
(69, 98)
(69, 101)
(69, 104)
(69, 107)
(69, 110)
(69, 113)
(69, 116)
(69, 119)
(69, 122)
(72, 89)
